Date,Home Team,Home Score,Away Team,Away Score
2026-08-28,Sullivan,2,Lafayette County,0
2026-08-28,Jennings,0,Maplewood-Richmond Hts.,3
2026-08-28,Oak Grove,2,Maryville,0
2026-08-28,Notre Dame de Sion,2,Maryville,1
2026-08-28,Oak Ridge,3,Meadow Heights,0
2026-08-28,Nerinx Hall,2,Mehlville,0
2026-08-28,North Point,1,MICDS,2
2026-08-28,Vashon,3,Miller Career Academy,0
2026-08-28,Hannibal,1,Oak Grove,2
2026-08-28,Prairie Home,0,Otterville,3
2026-08-28,Liberty North,1,Ozark,3
2026-08-28,Whitfield,0,Parkway South,3
2026-08-28,Risco,1,Portageville,3
2026-08-28,Westminster Christian Academy,3,Principia,0
2026-08-28,St. Pius X (Kansas City),2,Raymore-Peculiar,1
2026-08-28,Savannah,1,Raymore-Peculiar,2
2026-08-28,Northland Christian,0,Rock Port,2
2026-08-28,Seckman,1,Savannah,2
2026-08-28,Northland Christian,0,Saxony Lutheran,2
2026-08-28,Spokane,3,School of the Ozarks,1
2026-08-28,North Pemiscot,3,Senath-Hornersville,0
2026-08-28,Miami (Amoret),0,Sheldon,3
2026-08-28,St. Pius X (Festus),0,St. Joseph's Academy,2
2026-08-28,Rock Bridge,2,Webster Groves,0
2026-08-28,Lesterville,3,West County,1
2026-08-28,Greenville,3,Zalma,1
2026-08-29,Liberty (Mountain View),1,Adrian,2
2026-08-29,Lafayette County,0,Adrian,2
2026-08-29,Stockton,1,Ash Grove,2
2026-08-29,Osceola,2,Ash Grove,0
2026-08-29,El Dorado Springs,0,Ash Grove,2
2026-08-29,Sparta,0,Ash Grove,2
2026-08-29,Hannibal,2,Belton,0
2026-08-29,Maryville,1,Belton,2
2026-08-29,Notre Dame de Sion,2,Bishop LeBlond,1
2026-08-29,Seymour,0,Blue Eye,2
2026-08-29,Couch,0,Blue Eye,2
2026-08-29,Gainesville,0,Blue Eye,2
2026-08-29,Helias Catholic,2,Bolivar,0
2026-08-29,Lebanon,2,Bolivar,0
2026-08-29,Summit Christian Academy,2,Bolivar,0
2026-08-29,Strafford,2,Bolivar,0
2026-08-29,Linn,1,Boonville,1
2026-08-29,Father Tolton,1,Boonville,1
2026-08-29,Christian Fellowship Sr.,0,Boonville,2
2026-08-29,Tipton,0,Boonville,2
2026-08-29,Laquey,0,Bourbon,2
2026-08-29,Plato,1,Bourbon,1
2026-08-29,Strafford,2,Branson,1
2026-08-29,Ash Grove,2,Buffalo,0
2026-08-29,El Dorado Springs,0,Buffalo,2
2026-08-29,Sparta,0,Buffalo,2
2026-08-29,Diamond,2,Buffalo,0
2026-08-29,Northland Christian,2,Cameron,0
2026-08-29,Rock Port,2,Cameron,0
2026-08-29,Clever,2,Capital City,3
2026-08-29,Marshfield,3,Capital City,0
2026-08-29,Branson,1,Carthage,1
2026-08-29,Rolla,0,Carthage,2
